test_id,node,test_category,test_description,test,result,failure_reason
1,s1-leaf1,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
2,s1-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s1-leaf2_Ethernet1,PASS,
3,s1-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s1-leaf2_Ethernet6,PASS,
4,s1-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-SPINE1_Ethernet2,PASS,
5,s1-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-SPINE2_Ethernet2,PASS,
6,s1-leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s1-host1_Ethernet1,PASS,
7,s1-leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s1-leaf2_Po1,PASS,
8,s1-leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s1-host1_PortChannel,FAIL,The following interface(s) are not in the expected state: ['Port-Channel4 is lowerLayerDown/down expected up/up']
9,s1-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
10,s1-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
11,s1-leaf1,Interface State,Vlan Interface & Line Protocol == "adminDown",Vlan110 - Tenant_A_OP_Zone_1,PASS,
12,s1-leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,PASS,
13,s1-leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
14,s1-leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
15,s1-leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,PASS,
16,s1-leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
17,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf2_Ethernet1,PASS,
18,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf2_Ethernet6,PASS,
19,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet2,PASS,
20,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet2,PASS,
21,s1-leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-host1_Ethernet1,PASS,
22,s1-leaf1,IP Reachability,ip reachability test p2p links,Source: s1-leaf1_Ethernet2 - Destination: s1-spine1_Ethernet2,PASS,
23,s1-leaf1,IP Reachability,ip reachability test p2p links,Source: s1-leaf1_Ethernet3 - Destination: s1-spine2_Ethernet2,PASS,
24,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.1,PASS,
25,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.2,PASS,
26,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.3,PASS,
27,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.4,PASS,
28,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.5,PASS,
29,s1-leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf1 - 192.0.255.3/32 Destination: 192.0.255.6,PASS,
30,s1-leaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
31,s1-leaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
32,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,PASS,
33,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.0,PASS,
34,s1-leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.2,PASS,
35,s1-leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,PASS,
36,s1-leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,PASS,
